,image_id,ques_en,ans_en,label
0,2335177,What color is the man's shirt?,White.,2563
1,2392303,What is attached to the Westminster palace?,A tall tower.,314
2,2321185,What are the horses walking on?,Sand.,1901
3,2392923,What are the ties on top of?,Blanket.,604
4,2365369,Why is the ground white?,It's snowing.,1232
5,2365369,What are the people doing?,Walking.,2494
6,2392682,What are the Men doing?,Playing frisbee.,1795
7,2392682,What are the people in the background doing?,Watching the Men play.,2504
8,2361297,What is on the man's wrist?,A wristband.,361
9,2415913,What is covering the window?,A curtain.,135
10,2415420,What color is the sink?,White.,2563
11,2327133,How many lights are on the front of the bus?,Eight.,858
12,2327133,When was the photo taken?,Daytime.,800
13,2376728,Where are the forks?,On the napkin.,1607
14,2340094,What color is the ground?,Tan.,2085
15,2415601,How many cars do not have on their headlights?,One.,1687
16,2414132,Where is the white building located?,End of street.,868
17,2326262,What color are the stairs?,Red.,1854
18,2316899,What is the teddy bear wearing?,A bowtie.,97
19,2400596,What is in the bowl?,Tomatoes.,2396
20,2330978,How many light poles?,One.,1687
21,2389363,Where is the fence?,Behind the man.,548
22,2359510,What is this object?,Snowman.,1971
23,2328500,Where is the boat?,In the water.,1182
24,2379652,Where is this scene?,Airport.,395
25,2367880,What is the man doing with left hand?,Steadying pizza while cutting.,2009
26,2386210,What color is out of bounds?,Red.,1854
27,2354438,How many sets of eyes can you see?,One.,1687
28,2407651,"What, predominantly, is the material used for the items furnishing this room?",Wood.,2593
29,2321878,What color objects are on the ground?,Kites.,1267
30,2408770,What is around the baseball field?,A fence.,151
31,2341904,What color is the sky?,Blue.,621
32,2345930,What base is in this picture?,3rd base.,33
33,2324679,What color is the surfboard?,White.,2563
34,2324679,What color is the person's wetsuit?,Black.,603
35,2365369,When was this photo taken?,During the daytime.,847
36,2384775,When was the man tilting his head?,Nighttime.,1438
37,2384775,What Color is the man's tie?,Purple.,1821
38,2415420,What color are the tiles?,Brown.,655
39,2376233,What part of the plane is down?,The wing flaps.,2280
40,2408726,How many plates are on the table?,1,7
41,2370799,What is gathered in a puddle?,Water.,2514
42,2409658,Why is the man on the court?,Playing tennis.,1796
43,2340094,What is the dog doing?,Sleeping.,1958
44,2359902,Where is the tile border?,Around the wall.,435
45,2414132,What is the color of telephone wires?,Black.,603
46,2338059,Who is blending?,A man.,214
47,2316899,Where is the stuffed animal?,On the couch.,1581
48,2372875,How is the train?,Arriving.,436
49,2372875,What are the cars doing?,Parked.,1734
50,2372150,How many cats are there?,One.,1687
51,2374167,What color is the man's tie?,Red.,1854
52,2374167,What is around the bride's neck?,Necklace.,1414
53,2322887,What color is the fence?,Blue.,621
54,2389363,What kind of fence is this?,Chain link.,703
55,2400498,Where is the white sheet?,Under the red blanket.,2466
56,2391500,What is the person standing on?,Skateboard.,1945
57,2417622,Where is the cat lying?,On a towel-covered table.,1517
58,2393748,What are they doing?,Jumping.,1255
59,2321185,Where are they walking?,Along the beach.,400
60,2385206,How many post on the sidewalk?,One.,1687
61,2340332,Where is the event taking place?,On a baseball field.,1482
62,2392682,Where is this picture taken?,A field.,152
63,2361297,What is between two tennis courts?,Fence.,891
64,2401010,How are both eyes?,Open.,1690
65,2364944,What is the toilet paper on?,Wall.,2496
66,2401582,What has white stitching?,Black ribbon.,597
67,2401582,What does the lady bear have on top of head?,Veil with rose.,2481
68,2409658,Who is watching the game?,Spectators.,1989
69,2373667,What is on the floor of the open expanse?,A grate.,170
70,2382724,What color is the top of the table?,Black.,603
71,2382724,Where is the clock?,Wall.,2496
72,2338059,Where is the lady?,No lady.,1445
73,2383244,Where are they lying?,On the bed.,1565
74,2383244,How many feet are there?,4,34
75,2409074,Where is the scene?,A place with palm trees.,251
76,2370772,What kind of pants is the man wearing?,Snow pants.,1969
77,2372150,Where is the cat?,Bed.,523
78,2329138,Where is a hat?,On a woman's head.,1521
79,2339344,What kind of fruit is farthest left?,Lemon.,1307
80,2399443,What is behind the woman in the sky?,The Moon.,2109
81,2400498,What is on the bedside table?,An alarm clock.,406
82,2346516,Who is in the picture?,A man and child.,208
83,2392791,What is the man doing?,Eating.,856
84,2378433,What is the animals doing?,Bending.,568
85,2378433,What is the color of the bear?,Black.,603
86,2417622,Who is in the photo?,A man.,214
87,2392303,What is in the picture?,The Big Ben.,2107
88,2335177,How many sheep are shown?,One.,1687
89,2335177,Who is trimming the sheep?,The man.,2203
90,2407651,What design is on the window panes?,They are a diamond pattern.,2298
91,2321878,What color is the fence?,White.,2563
92,2408770,What color is the boy's shirt?,Red.,1854
93,2365039,What direction is the zebra looking?,Left.,1305
94,2340332,What is the name of the player standing at the home base?,Mauer.,1366
95,2395647,What can the people use to lean on?,Railing.,1828
96,2365369,What is covering the ground?,Snow.,1970
97,2361297,What is the number of zebras in the picture?,Zero.,2620
98,2361297,What is in the man's right hand?,Tennis racket.,2100
99,2415913,What color is the curtain?,White.,2563
100,2318831,How many zebras are in the photo?,Two.,2446
101,2376728,Where is the picture taken?,At a table.,453
102,2408726,What is the color of the table?,Brown.,655
103,2359902,How does the rim look like?,White.,2563
104,2370992,What is between the wooden sections?,A crack.,131
105,2414132,What type of vehicle is in front on the left side of the picture?,Minivan.,1381
106,2373313,Where is the laptop?,On the bed.,1565
107,2373313,Where is the white sheet?,On the bed.,1565
108,2396561,What is the woman wearing?,Tan pants.,2084
109,2326262,Where was this picture taken?,A library.,201
110,2390993,Who is the man?,No indication.,1444
111,2360727,Who is pictured?,A woman.,356
112,2360727,Who is pictured?,A woman.,356
113,2400596,What is in the bowl?,Chopped tomatoes.,719
114,2400596,What type of color is the hat?,Black.,603
115,2372150,What is the sheet color?,White.,2563
116,2374167,How is the photo?,Clear.,736
117,2330978,Where are the skateboards?,On the ground.,1595
118,2329138,Where are shadows?,On the ground.,1595
119,2329138,Where are clouds?,In the sky.,1174
120,2370863,What is black at the rear end of the bicycle?,Tire.,2327
121,2328500,What is seen along the shore?,Rocks.,1877
122,2415316,What is the man holding?,An umbrella.,421
123,2367880,What looks cheesy?,Pizza.,1780
124,2354438,What is over their heads?,Umbrella.,2449
125,2354438,What is the mother doing?,Walking.,2494
126,2385206,Why the stop is red?,So it's visible.,1973
127,2410068,What color are the scissors handles in the background?,Blue and green.,610
128,2353595,What is the dog sitting on?,Rug.,1885
129,2353595,What type of animal is in this picture?,Dog.,814
130,2395647,What mode of transportation is visible?,Boat.,625
131,2324679,What color is the sky?,Gray.,993
132,2333753,Why was the woman holding a hose?,To clean the lamb.,2337
133,2365369,Who is carrying the black umbrella?,A man.,214
134,2392682,What sort is being played?,Ultimate frisbee.,2448
135,2384775,What is the man wearing around his neck?,A tie.,321
136,2318831,When was this photo taken?,In the daytime.,1146
137,2415420,Where are the urinals?,On the wall.,1655
138,2376233,What is in the sky that is big?,The airplane.,2112
139,2376233,How many planes are there?,One.,1687
140,2384817,Why is the shuttle on the aircraft?,It's being transported.,1225
141,2384817,What color is the plane?,White.,2563
142,2384817,What color is the space shuttle?,White with black trim.,2560
143,2376728,What is the cake kept on?,A plate.,254
144,2408726,Where is handwriting?,On white paper.,1675
145,2370799,What is on the cyclist's back?,A back-pack.,62
146,2375728,What is covering the table?,A white cloth.,346
147,2375728,What is the mug's color?,Green.,1009
148,2340094,How many different kinds of animals are in the photo?,Two.,2446
149,2370992,What button can a person press to return to the main menu?,The home key.,2183
150,2382724,What animal is on the shelf?,Duck.,834
151,2336673,What is this a picture of?,A dog with a frisbee.,145
152,2338059,What color is the blender?,Red.,1854
153,2338059,What snacks are shown?,Potato chips.,1811
154,2326262,When was this picture taken?,Daytime.,800
155,2332193,What time of day is it?,Day time.,798
156,2391656,What type of sauce is on the pizza?,Tomato sauce.,2394
157,2413552,When did the woman go surfing?,During high tide.,843
158,2390993,What is the man riding?,Horse.,1056
159,2372875,How is the street?,Empty.,867
160,2374167,What is the dress code?,Formal.,937
161,2394177,What are the dogs standing on/ near?,Motorcycle.,1388
162,2330978,When was the picture taken?,Daytime.,800
163,2335797,What room was this taken in?,Bedroom.,524
164,2400498,Where is the hand?,Next to the pillow.,1428
165,2370863,What is the girl riding?,A bicycle.,82
166,2317544,Why are the women carrying umbrellas?,Rainy weather.,1831
167,2393970,What is the man holding?,A camera.,106
168,2354438,Who are these people?,Mother and child.,1386
169,2335177,What color are the man's shoes?,Black.,603
170,2407651,Where is the diamond pattern?,On the window.,1658
171,2389352,What is reflected on the ground?,The boys' shadows.,2140
172,2389352,When was this picture taken?,Daytime.,800
173,2403773,What is the shade of the cat's eyes?,Green.,1009
174,2410990,What is behind the sheep?,A fence.,151
175,2392923,What is under the hat?,Two ties.,2444
176,2391010,What color is the plate?,White.,2563
177,2340332,What is the number of the player standing at home base?,7,48
178,2395647,What are the people doing?,Unloading.,2470
179,2333753,What color is the first chair?,Green.,1009
180,2384775,Who is wearing glasses?,The man.,2203
181,2318831,What color is the grass?,Green.,1009
182,2318831,Where are the zebras?,In a field.,1078
183,2401010,What color is the door?,Brown.,655
184,2364944,What kind of linoleum is this?,Green linoleum.,1003
185,2401582,What is next to 2012?,Heart.,1041
186,2401582,What is the male bear's role in the wedding ceremony?,Groom.,1016
187,2376728,What is on the napkin?,A white design.,347
188,2408726,What color is the table?,Brown.,655
189,2409658,What is black?,Player's outfit.,1789
190,2415601,What vehicles are pictured?,Cars.,691
191,2415601,What color is the cross walk light?,Red.,1854
192,2359902,Where is there green?,Floor.,905
193,2349358,When was this?,Daytime.,800
194,2405799,Where is the bench?,Near a park.,1405
195,2338059,How many people are there?,One.,1687
196,2316899,What is the stuffed animal?,A teddy bear.,315
197,2409074,What is on top of the station wagon?,A surfboard.,306
198,2400596,What is in the bowl?,Tomatoes.,2396
199,2335797,How many white pillows are in the photo?,2,21
200,2322887,Who is the man?,A fireman.,153
201,2400498,What is the wall made of?,Corkboard.,765
202,2385913,What color is the lemon?,Yellow.,2612
203,2385913,When was this picture taken?,Daytime.,800
204,2335099,What is on the desk?,Computer.,756
205,2328500,What is up on top of the bank?,Houses.,1063
206,2378433,Where was the pic taken?,In the woods.,1184
207,2317544,How many people are in the photo's foreground?,Three.,2320
208,2379652,What is the sky like?,Overcast.,1716
209,2393970,What is on the net?,Display.,808
210,2393748,Where is the number 5?,On red shirt.,1553
211,2321185,What animals are in the picture?,Horses and a bird.,1057
212,2321185,What color vest do the riders have on?,Bright green.,642
213,2321185,When was this picture taken?,During daylight.,841
214,2389352,When was this photo taken?,Daytime.,800
215,2408770,What game is the man playing?,Baseball.,507
216,2392923,What pattern is on the two ties?,Stripes.,2039
217,2353595,How many pairs are shoes are there?,3,28
218,2342072,How many words are on the remote control?,One.,1687
219,2318831,What are the zebras doing in the photo?,Standing.,2006
220,2327133,What number is on top of the front of the bus?,516,41
221,2364944,Where is the tub?,Across from sink.,376
222,2410197,What is at the top?,Building.,662
223,2375728,What is on the side of the round food?,Veggie.,2480
224,2340094,How many dogs are in the picture?,One.,1687
225,2349358,How is the photo?,Clear.,736
226,2370992,Where is the wood surface?,Under the cellphone.,2460
227,2414132,What do the signs mean?,Wrong way.,2599
228,2316899,How many stuffed animals do you see?,One.,1687
229,2413552,Where is the woman?,In the ocean.,1166
